age,GENDER,grade,race,parents,skl_gra,stayhome,friends,pregnant,gamble,clubs,sports,hrs_work,alc_30
17 years old,Male,Junior - 11th,Other,My mother and my father, ,0 days,3 or 4,No,I have never gambled,No,Yes,None,1 or 2 days
18 years old or older,Female,Junior - 11th,White,My mother and my father,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,I don't know,Once or twice per year,No,Yes,None,0 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander,My mother and my father,Mostly C's,2 or 3 days,5 or more,No,Once or twice per year,No,No,16-20 hours,All 30 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino,My mother and a step-parent,Mostly C's,0 days,3 or 4,No,Once or twice per year,No,No,None,0 days
17 years old,Male,Junior - 11th,Black,My mother only,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,5 hours or less,0 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,Yes,11-15 hours,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother only,Mostly D's,0 days,1 or 2,No,I have never gambled,Yes,Yes,None,0 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My father and a step-parent,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,6-10 hours,0 days
16 years old,Female,Junior - 11th,Other,My mother and my father,Mostly D's,0 days,1 or 2,Yes,I have never gambled,No,Yes,6-10 hours,0 days
17 years old,Male,Junior - 11th,Other,My mother and my father,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,No,No,None,0 days
18 years old or older,Male,Junior - 11th,White,My mother and my father,Mostly B's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
17 years old,Male,Junior - 11th,White,My mother and my father,I don't know,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
16 years old,Female,Junior - 11th,White,My mother and my father, ,1 day,3 or 4,No,Once or twice per year,Yes,No,11-15 hours,6 to 9 days
18 years old or older,Male,Junior - 11th,Other,My mother and my father,Mostly C's,0 days,5 or more,No,Once or twice per year,No,Yes,5 hours or less,0 days
18 years old or older,Female,Junior - 11th,Black,My mother and a step-parent, ,0 days,3 or 4,No,I have never gambled,No,No,6-10 hours,0 days
18 years old or older,Male,Junior - 11th,Other,My mother and my father,Mostly E's or F's,1 day,5 or more,I don't know,At least once per month,No,Yes,21-25 hours,3 to 5 days
17 years old,Female,Junior - 11th, ,My mother only,I don't know,0 days,5 or more,I don't know,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,White,My mother and my father,Mostly C's,0 days,5 or more,Yes,At least once per month,No,No,None,3 to 5 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly C's,0 days,3 or 4,No,At least once per month,No,Yes,None,1 or 2 days
17 years old,Female,Junior - 11th,Other,My father only,Mostly B's,0 days,3 or 4,No,I have never gambled,Yes,No,None,0 days
16 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,No,9, , , ,0 days
18 years old or older,Female,Junior - 11th,Other, ,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,21-25 hours,1 or 2 days
17 years old,Female,Junior - 11th, ,My mother only,Mostly B's,0 days,3 or 4,No,Once or twice per year,No,No,26-30 hours,0 days
17 years old,Female,Junior - 11th, ,My mother and my father, ,0 days,1 or 2,No,I have never gambled,No,No,11-15 hours,0 days
16 years old,Female,Junior - 11th, ,My mother only,Mostly D's,0 days,1 or 2,No,I have never gambled, , ,None,1 or 2 days
17 years old,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,5 hours or less,1 or 2 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,None,1 or 2 days
18 years old or older,Male,Senior - 12th,Black,My mother and my father,Mostly C's,0 days,1 or 2,Yes,I have never gambled, ,Yes,6-10 hours,6 to 9 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother only,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
14 years old,Female,Freshman - 9th,Hispanic or Latino, ,9,9, ,No,I have never gambled, , , ,9
17 years old,Female,Senior - 12th,Other,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,11-15 hours,0 days
16 years old,Female,Junior - 11th,White,My father only,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,No,None,1 or 2 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,Yes,Yes,5 hours or less,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,Yes,5 hours or less,0 days
16 years old,Female,Junior - 11th,White,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old, ,Junior - 11th,Black,My mother only,Mostly B's,0 days,3 or 4,No,I have never gambled,No,Yes,5 hours or less,1 or 2 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly B's,0 days,3 or 4,No,I have never gambled,No,No,16-20 hours,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,0 days
16 years old,Female,Junior - 11th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
18 years old or older,Male,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Senior - 12th,White,My mother and my father,Mostly B's,0 days,1 or 2,No,Once or twice per year,No,Yes,5 hours or less,0 days
17 years old,Male,Senior - 12th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,16-20 hours,3 to 5 days
16 years old,Female,Junior - 11th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
17 years old,Female,Senior - 12th, , ,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,10 to 19 days
16 years old,Female,Junior - 11th,Hispanic or Latino,My mother only,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
16 years old,Female,Junior - 11th,Black,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Male,Senior - 12th, ,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,Yes,None,1 or 2 days
18 years old or older,Male,Senior - 12th,White,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,No,None,0 days
18 years old or older,Male,Senior - 12th,White,My mother only,Mostly B's,0 days,1 or 2,No,I have never gambled,No,Yes,None,3 to 5 days
17 years old,Male,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,0 days
18 years old or older,Male,Senior - 12th,White,My mother and my father,I don't know,0 days,3 or 4,No,Once or twice per year,No,No,11-15 hours,1 or 2 days
18 years old or older,Male,Senior - 12th,White,My mother and a step-parent,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,None,1 or 2 days
18 years old or older,Male,Senior - 12th,White,"Another relative (like a grandparent, aunt/uncle)",Mostly C's,0 days,1 or 2,I don't know,Weekly,No,Yes,None,6 to 9 days
18 years old or older,Female,Senior - 12th,Black,My mother and my father,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,No,No,5 hours or less,0 days
18 years old or older,Male,Senior - 12th,Black, ,Mostly D's,2 or 3 days,1 or 2,I don't know, , , , ,6 to 9 days
17 years old,Male,Senior - 12th,Black,My mother only,Mostly B's,0 days,5 or more, , , , , ,6 to 9 days
18 years old or older,Female,Senior - 12th,Other, ,Mostly B's,0 days, ,No,Once or twice per year, , , ,9
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother only,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,11-15 hours,0 days
18 years old or older,Female,Senior - 12th,White,My mother and a step-parent,Mostly D's,0 days,1 or 2,No,At least once per month,No,No,16-20 hours,20 to 29 days
17 years old,Male,Senior - 12th,White,My father and a step-parent,Mostly D's,0 days,5 or more,Yes,Weekly,Yes,Yes,None,6 to 9 days
17 years old,Male,Senior - 12th,Other,"Another relative (like a grandparent, aunt/uncle)",Mostly C's,0 days,5 or more,No,I have never gambled,No,No,None,10 to 19 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
16 years old,Male,Sophomore - 10th,Other,My mother only,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly D's,0 days,1 or 2,No,Once or twice per year,No,Yes,None,6 to 9 days
15 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly C's,2 or 3 days,1 or 2,I have never had sexual intercourse,At least once per month,No,Yes,None,0 days
17 years old,Male,Junior - 11th,Black,My mother and my father,Mostly D's,0 days,1 or 2,No,I have never gambled,No,No,None,0 days
15 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,6-10 hours,0 days
15 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly D's,0 days,5 or more,No,At least once per month,No,Yes,None,1 or 2 days
15 years old,Male,Freshman - 9th,White,My mother only,Mostly D's,0 days,5 or more,I have never had sexual intercourse,Weekly,Yes,Yes,6-10 hours,0 days
16 years old,Female,Freshman - 9th,White,My mother and a step-parent,Mostly D's,0 days,5 or more,No,I have never gambled,No,Yes,None,3 to 5 days
17 years old,Female,Sophomore - 10th,White,My father only,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year,Yes,Yes,None,0 days
16 years old,Male,Freshman - 9th,White,My mother and my father,Mostly C's,0 days,5 or more,No,I have never gambled,No,Yes,None,1 or 2 days
17 years old,Male,Senior - 12th,Black,My mother and my father,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
14 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and a step-parent,I don't know,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,5 hours or less,0 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother only,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Male,Sophomore - 10th,White,My mother and my father,I don't know,0 days,5 or more,No,I have never gambled,Yes,Yes,None,0 days
17 years old,Male,Junior - 11th,White,My mother and my father,Mostly C's,0 days,5 or more,No,I have never gambled,No,Yes,None,1 or 2 days
15 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
16 years old,Female,Sophomore - 10th,Other,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
15 years old,Female,Sophomore - 10th,Other,My mother and my father,Mostly C's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Female,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father, ,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
16 years old,Male,Sophomore - 10th,White,My mother and my father,I don't know,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Male,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
15 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,5 hours or less,0 days
15 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
16 years old,Male,Sophomore - 10th,White,My mother only,Mostly A's,0 days,3 or 4,No,I have never gambled,Yes,Yes,5 hours or less,0 days
15 years old,Female,Sophomore - 10th,White,My mother and my father, ,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Male,Sophomore - 10th,Black,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
15 years old,Female,Sophomore - 10th,Other,My mother and my father,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
16 years old,Female,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,0 days
16 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,1 or 2 days
15 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,Yes,None,1 or 2 days
16 years old,Male,Sophomore - 10th,White,My mother only,Mostly B's,0 days,None,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly D's, ,None,No,I have never gambled,No,No,21-25 hours,10 to 19 days
16 years old,Male,Sophomore - 10th,Black,My mother only,Mostly B's,0 days,None,No,I have never gambled,No, ,16-20 hours,0 days
15 years old,Male,Sophomore - 10th,White,"Another relative (like a grandparent, aunt/uncle)",Mostly D's,0 days,5 or more,No,At least once per month,No,Yes,None,6 to 9 days
16 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
16 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,5 hours or less,0 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly C's,1 day,3 or 4,No,I have never gambled,No,No,5 hours or less,6 to 9 days
15 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and a step-parent,Mostly C's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Male,Sophomore - 10th,Black,My mother and my father,I don't know,1 day,5 or more,I have never had sexual intercourse,Once or twice per year,No,Yes,6-10 hours,0 days
16 years old,Female,Sophomore - 10th,Other,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Senior - 12th,Black,My mother only,Mostly C's,0 days,5 or more,No,At least once per month,No,Yes,None,1 or 2 days
16 years old,Female,Sophomore - 10th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,Once or twice per year, ,Yes,None,0 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino,"Another relative (like a grandparent, aunt/uncle)",Mostly C's,0 days,3 or 4,No,At least once per month,No,Yes,None,0 days
16 years old,Male,Sophomore - 10th,White,My mother and my father,Mostly B's,0 days,3 or 4,No,I have never gambled,No,Yes,6-10 hours,0 days
16 years old,Male,Sophomore - 10th,Other,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled, ,Yes,None,0 days
15 years old,Male,Sophomore - 10th,White,My mother and my father,Mostly D's,0 days,1 or 2,Yes,I have never gambled,No,Yes,None,0 days
15 years old,Male,Sophomore - 10th,White,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
15 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother and my father,I don't know,0 days,5 or more,I don't know,I have never gambled,No,Yes,None,0 days
18 years old or older,Female,Senior - 12th,White,My mother only,Mostly B's,0 days,None,No,Daily, , ,More than 30 hours,0 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Male,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled, ,Yes,None,0 days
17 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother only,Mostly C's,1 day,1 or 2,No,I have never gambled,Yes,No,11-15 hours,1 or 2 days
15 years old,Male,Sophomore - 10th,White,My mother and my father,Mostly C's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,Yes,None,3 to 5 days
17 years old,Male,Senior - 12th,Black,My mother and my father,Mostly B's,0 days,5 or more,No,I have never gambled,No,Yes,11-15 hours,0 days
15 years old,Male,Freshman - 9th,Other,My mother and my father,Mostly B's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
17 years old,Female,Junior - 11th,Black,My mother and my father,Mostly C's,0 days,5 or more,No,I have never gambled,No,Yes,16-20 hours,3 to 5 days
17 years old,Male,Junior - 11th,Asian or other Pacific Islander,"Another relative (like a grandparent, aunt/uncle)",Mostly C's,0 days,3 or 4,No, , , ,None,0 days
17 years old,Female,Junior - 11th,Black,My father only,Mostly D's,0 days,5 or more,No,I have never gambled,No,No,None,1 or 2 days
15 years old,Male,Freshman - 9th,Black,My mother and a step-parent,Mostly C's,0 days,5 or more,No, ,No,Yes,None,1 or 2 days
14 years old,Female,Freshman - 9th, , ,Mostly E's or F's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,1 or 2 days
15 years old,Male,Freshman - 9th,White,My mother and my father,Mostly B's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
14 years old,Male,Freshman - 9th, ,My father and a step-parent,I don't know,0 days,5 or more,No,Once or twice per year,No,Yes,None,10 to 19 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,I don't know,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,Yes,None,0 days
14 years old,Male,Freshman - 9th,Other,My mother only,Mostly A's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,Yes,No,None,0 days
17 years old,Male,Junior - 11th,White,My mother and my father, ,0 days,5 or more,No,Once or twice per year,No,Yes,More than 30 hours,6 to 9 days
17 years old,Male,Sophomore - 10th,Asian or other Pacific Islander,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,Yes,No,More than 30 hours,0 days
18 years old or older,Male,Senior - 12th,White,My mother and my father,Mostly A's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male,Senior - 12th,White,My mother and my father,Mostly B's,0 days,5 or more,No,At least once per month,Yes,Yes,11-15 hours,1 or 2 days
18 years old or older,Male,Senior - 12th,Black,My mother and my father,Mostly B's,0 days,1 or 2,No,I have never gambled, , ,None,0 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,5 or more,No,I have never gambled,No,Yes,None,0 days
17 years old,Male,Junior - 11th,White,My mother and my father,Mostly A's,0 days,5 or more,No,I have never gambled,Yes,Yes,11-15 hours,1 or 2 days
18 years old or older,Male,Senior - 12th,White,My mother and my father,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Male, ,Black,My mother and my father,Mostly A's,0 days,5 or more, , , , , ,0 days
18 years old or older,Male,Senior - 12th,White,My mother and my father,Mostly D's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,Other,My mother and a step-parent,Mostly B's,0 days,1 or 2,I don't know,I have never gambled,Yes,No,21-25 hours,1 or 2 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,0 days, ,No,9, , , ,1 or 2 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother and a step-parent,Mostly B's,1 day,3 or 4,Yes,I have never gambled,No,No,None,1 or 2 days
15 years old,Male,Sophomore - 10th,American Indian or Alaska Native,My mother only,Mostly D's,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Female,Senior - 12th,White,My mother only,Mostly B's,0 days,3 or 4,Yes,I have never gambled,No,No,None,10 to 19 days
16 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother and my father, ,0 days,3 or 4,I have never had sexual intercourse,I have never gambled,No,No,None,1 or 2 days
15 years old,Male,Freshman - 9th,Black,My mother and my father, ,0 days,5 or more,No,Once or twice per year,No,No,None,10 to 19 days
16 years old,Male,Freshman - 9th,Hispanic or Latino,My mother only,Mostly C's,0 days,5 or more,No,I have never gambled,No,Yes,None,0 days
17 years old,Male,Junior - 11th,White,My father only,Mostly B's,0 days,5 or more,Yes,Weekly,No,Yes,None,0 days
16 years old,Male,Sophomore - 10th,Hispanic or Latino,My mother only,Mostly C's,0 days,3 or 4,No,I have never gambled,No,Yes,None,10 to 19 days
16 years old,Female,Sophomore - 10th,White, ,Mostly A's,0 days, ,I have never had sexual intercourse,9, , , ,1 or 2 days
17 years old,Male,Junior - 11th,White,My mother and a step-parent,Mostly C's,0 days,1 or 2,No,I have never gambled,No,No,None,0 days
17 years old,Male,Freshman - 9th,Hispanic or Latino,My mother only,I don't know,0 days,5 or more,No,At least once per month,No,No,6-10 hours,All 30 days
17 years old,Female,Sophomore - 10th,Black,My mother and my father,I don't know,0 days,3 or 4,No,I have never gambled,No,No,None,0 days
16 years old,Male,Freshman - 9th,White,My father only,Mostly C's,0 days,3 or 4,No,I have never gambled,No,Yes,None,0 days
17 years old,Male,Freshman - 9th,Other,My mother only,Mostly D's,0 days,1 or 2,No,At least once per month,No,Yes,6-10 hours,3 to 5 days
16 years old,Male,Sophomore - 10th,White,My mother only,Mostly D's,0 days,1 or 2,No,Once or twice per year,No,No,None,6 to 9 days
16 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly D's,0 days,5 or more,No,At least once per month,No,Yes,None,6 to 9 days
18 years old or older,Male,Sophomore - 10th,White,Someone else not on this list,Mostly B's,0 days,5 or more,No,At least once per month,No,No,5 hours or less,0 days
16 years old,Male,Sophomore - 10th,Other, ,Mostly A's,0 days, ,No,I have never gambled, , , ,0 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,"Another relative (like a grandparent, aunt/uncle)",Mostly C's,0 days,3 or 4,No,Once or twice per year,Yes,No,None,1 or 2 days
18 years old or older,Male,Junior - 11th,Hispanic or Latino,My mother and my father,I don't know,0 days,3 or 4,Yes,I have never gambled,Yes,Yes,More than 30 hours,1 or 2 days
18 years old or older,Male,Junior - 11th,Black,Someone else not on this list,Mostly A's,0 days,1 or 2,No,Daily,Yes,Yes,16-20 hours,6 to 9 days
18 years old or older,Female,Freshman - 9th,Hispanic or Latino,My mother and my father,I don't know,0 days,1 or 2,Yes,I have never gambled,No,No,None,1 or 2 days
17 years old,Female,Junior - 11th,White,My mother and my father,Mostly B's,0 days,1 or 2,No,I have never gambled,Yes,No,None,0 days
18 years old or older,Female,Junior - 11th,White,My mother and my father,I don't know,0 days,1 or 2,No,I have never gambled,No,Yes,26-30 hours,0 days
16 years old,Female,Junior - 11th,White,My mother and a step-parent,Mostly B's,0 days,1 or 2,No,I have never gambled,No,No,None,6 to 9 days
18 years old or older,Male,Sophomore - 10th,Hispanic or Latino,My mother only,Mostly C's,0 days,5 or more,Yes,I have never gambled,No,No,None,6 to 9 days
15 years old,Female,Freshman - 9th,White,My mother only,Mostly C's,0 days,3 or 4,No,I have never gambled,No,No,None,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother only,I don't know,0 days,3 or 4,No,I have never gambled,No,No,16-20 hours,0 days
16 years old,Male,Freshman - 9th,Hispanic or Latino,My mother and a step-parent,Mostly B's,0 days,None,Yes,I have never gambled,No,Yes,None,1 or 2 days
15 years old,Female,Freshman - 9th,Hispanic or Latino,My mother only,Mostly B's,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,Yes,No,None,1 or 2 days
15 years old,Female,Sophomore - 10th,White, ,Mostly B's,1 day, ,No,I have never gambled, , , ,3 to 5 days
17 years old,Female,Senior - 12th,White,My mother and my father,Mostly A's,0 days,None,I have never had sexual intercourse,I have never gambled,Yes,Yes,11-15 hours,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother and a step-parent,Mostly B's,0 days,3 or 4,No,I have never gambled,Yes,Yes,None,3 to 5 days
17 years old,Female,Senior - 12th,Hispanic or Latino,My mother and my father,Mostly B's,0 days,3 or 4,No,I have never gambled,Yes,Yes,5 hours or less,0 days
18 years old or older,Female,Junior - 11th,Hispanic or Latino,My mother and my father,Mostly C's,0 days,3 or 4,No,I have never gambled,Yes,No,None,0 days
16 years old,Male,Junior - 11th,Hispanic or Latino,My father only,Mostly B's,0 days,5 or more,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
14 years old,Female,Freshman - 9th,Other,My mother and a step-parent,Mostly A's,0 days,1 or 2,I have never had sexual intercourse,At least once per month,Yes,No,5 hours or less,3 to 5 days
15 years old,Male,Freshman - 9th,Hispanic or Latino,My mother only, ,4 or 5 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother and a step-parent,Mostly B's,2 or 3 days,3 or 4,No,I have never gambled,No,No,None,6 to 9 days
17 years old,Female,Junior - 11th,Hispanic or Latino,My mother only,Mostly E's or F's,0 days,5 or more,No,I have never gambled,No,No,None,0 days
17 years old,Female,Junior - 11th, ,My mother and my father, ,0 days,1 or 2,I have never had sexual intercourse,I have never gambled,No,No,26-30 hours,0 days
18 years old or older,Female,Senior - 12th,Hispanic or Latino,My mother only,Mostly B's,0 days,3 or 4,No,I have never gambled,Yes,Yes,11-15 hours,1 or 2 days
18 years old or older,Female,Freshman - 9th,Hispanic or Latino,My mother and my father,Mostly B's,2 or 3 days,None,No,Once or twice per year,No,No,5 hours or less,1 or 2 days
18 years old or older,Female,Junior - 11th,Hispanic or Latino,"Another relative (like a grandparent, aunt/uncle)",I don't know,0 days,5 or more,Yes,I have never gambled,No,No,None,0 days
17 years old,Female,Sophomore - 10th,Hispanic or Latino,My mother only,Mostly B's,0 days,5 or more,No,I have never gambled,No,No,None,1 or 2 days
